state,forecast_week,year,epi_week,date,predicted_cases,predicted_lower,predicted_upper,risk_level
Katsina,1,2025,10,2025-03-03,6.48,0.0,26.02,Low
Katsina,2,2025,11,2025-03-10,5.36,0.0,32.99,Low
Katsina,3,2025,12,2025-03-17,5.39,0.0,39.24,Low
Katsina,4,2025,13,2025-03-24,5.18,0.0,44.27,Low
Kebbi,1,2025,10,2025-03-03,4.0,0.0,19.02,Low
Kebbi,2,2025,11,2025-03-10,3.21,0.0,24.46,Low
Kebbi,3,2025,12,2025-03-17,5.04,0.0,31.06,Low
Kebbi,4,2025,13,2025-03-24,3.26,0.0,33.31,Low
Kogi,1,2025,10,2025-03-03,3.77,0.0,8.39,Low
Kogi,2,2025,11,2025-03-10,5.42,0.0,11.95,Low
Kogi,3,2025,12,2025-03-17,3.64,0.0,11.64,Low
Kogi,4,2025,13,2025-03-24,5.58,0.0,14.82,Low
Kwara,1,2024,33,2024-08-12,5.38,0.0,16.24,Low
Kwara,2,2024,34,2024-08-19,3.91,0.0,19.27,Low
Kwara,3,2024,35,2024-08-26,7.6,0.0,26.41,Low
Kwara,4,2024,36,2024-09-02,6.04,0.0,27.76,Low
Lagos,1,2025,10,2025-03-03,23.24,0.0,66.26,Medium
Lagos,2,2025,11,2025-03-10,19.68,0.0,80.51,Medium
Lagos,3,2025,12,2025-03-17,19.68,0.0,94.19,Medium
Lagos,4,2025,13,2025-03-24,19.68,0.0,105.71,Medium
Nasarawa,1,2025,10,2025-03-03,4.09,0.0,18.21,Low
Nasarawa,2,2025,11,2025-03-10,5.39,0.0,25.35,Low
Nasarawa,3,2025,12,2025-03-17,4.09,0.0,28.54,Low
Nasarawa,4,2025,13,2025-03-24,5.39,0.0,33.62,Low
Niger,1,2025,5,2025-01-27,5.66,0.0,20.34,Low
Niger,2,2025,6,2025-02-03,4.58,0.0,25.34,Low
Niger,3,2025,7,2025-02-10,4.96,0.0,30.39,Low
Niger,4,2025,8,2025-02-17,2.75,0.0,32.11,Low
Ogun,1,2024,39,2024-09-23,13.49,0.0,27.81,Medium
Ogun,2,2024,40,2024-09-30,11.32,0.0,31.57,Medium
Ogun,3,2024,41,2024-10-07,11.32,0.0,36.13,Medium
Ogun,4,2024,42,2024-10-14,8.11,0.0,36.76,Low
Ondo,1,2025,5,2025-01-27,6.56,0.0,31.53,Low
Ondo,2,2025,6,2025-02-03,3.97,0.0,39.28,Low
Ondo,3,2025,7,2025-02-10,6.27,0.0,49.52,Low
Ondo,4,2025,8,2025-02-17,4.96,0.0,54.9,Low
Osun,1,2025,10,2025-03-03,5.95,2.89,9.01,Low
Osun,2,2025,11,2025-03-10,4.02,0.0,8.34,Low
Osun,3,2025,12,2025-03-17,5.95,0.65,11.25,Low
Osun,4,2025,13,2025-03-24,4.02,0.0,10.14,Low
Oyo,1,2025,10,2025-03-03,9.08,0.0,18.23,Medium
Oyo,2,2025,11,2025-03-10,4.73,0.0,17.67,Low
Oyo,3,2025,12,2025-03-17,9.32,0.0,25.16,Medium
Oyo,4,2025,13,2025-03-24,6.67,0.0,24.96,Low
Plateau,1,2023,27,2023-07-03,4.55,0.0,99.48,Low
Plateau,2,2023,28,2023-07-10,5.76,0.0,140.02,Low
Plateau,3,2023,29,2023-07-17,4.39,0.0,168.82,Low
Plateau,4,2023,30,2023-07-24,5.76,0.0,195.64,Low
Rivers,1,2025,10,2025-03-03,4.74,0.0,27.68,Low
Rivers,2,2025,11,2025-03-10,6.8,0.0,39.25,Low
Rivers,3,2025,12,2025-03-17,5.82,0.0,45.57,Low
Rivers,4,2025,13,2025-03-24,5.42,0.0,51.31,Low
Sokoto,1,2025,5,2025-01-27,3.12,0.0,33.63,Low
Sokoto,2,2025,6,2025-02-03,5.02,0.0,48.17,Low
Sokoto,3,2025,7,2025-02-10,3.35,0.0,56.19,Low
