date,T2M,RH2M,PRECTOTCORR,state
2023-02-08,26.15,80.61,0.12,Oyo
2023-02-09,26.54,82.09,0.17,Oyo
2023-02-10,27.03,80.52,0.0,Oyo
2023-02-11,27.32,80.52,0.0,Oyo
2023-02-12,26.95,77.78,0.0,Oyo
2023-02-13,25.75,71.35,0.0,Oyo
2023-02-14,25.55,74.97,0.0,Oyo
2023-02-15,24.93,74.43,0.0,Oyo
2023-02-16,24.11,62.52,0.0,Oyo
2023-02-17,23.54,63.99,0.0,Oyo
2023-02-18,24.7,62.38,0.0,Oyo
2023-02-19,24.09,64.63,0.0,Oyo
2023-02-20,25.03,66.75,0.0,Oyo
2023-02-21,25.17,68.51,0.09,Oyo
2023-02-22,26.22,83.64,0.44,Oyo
2023-02-23,26.79,83.01,0.74,Oyo
2023-02-24,26.62,86.06,0.68,Oyo
2023-02-25,26.6,81.81,5.0,Oyo
2023-02-26,26.76,82.87,6.93,Oyo
2023-02-27,26.69,83.78,5.55,Oyo
2023-02-28,26.38,86.53,8.45,Oyo
2023-03-01,26.5,84.19,2.95,Oyo
2023-03-02,25.98,89.23,1.57,Oyo
2023-03-03,26.31,85.38,2.15,Oyo
2023-03-04,26.83,83.25,1.98,Oyo
2023-03-05,27.01,83.16,1.03,Oyo
