date,T2M,RH2M,PRECTOTCORR,state
2023-01-13,24.17,68.38,0.0,Oyo
2023-01-14,23.84,69.23,0.0,Oyo
2023-01-15,24.34,76.85,0.0,Oyo
2023-01-16,23.51,69.08,0.0,Oyo
2023-01-17,23.61,61.99,0.0,Oyo
2023-01-18,24.09,68.52,0.0,Oyo
2023-01-19,25.26,78.49,0.0,Oyo
2023-01-20,25.72,82.01,0.0,Oyo
2023-01-21,25.96,83.85,0.07,Oyo
2023-01-22,25.72,85.15,0.11,Oyo
2023-01-23,25.6,86.2,0.08,Oyo
2023-01-24,26.28,81.86,0.05,Oyo
2023-01-25,26.5,80.39,0.09,Oyo
2023-01-26,25.77,85.08,0.14,Oyo
2023-01-27,25.32,89.95,0.32,Oyo
2023-01-28,25.07,92.15,0.6,Oyo
2023-01-29,24.95,87.15,0.19,Oyo
2023-01-30,25.05,87.8,0.49,Oyo
2023-01-31,25.43,83.09,0.0,Oyo
2023-02-01,25.42,76.45,0.0,Oyo
2023-02-02,26.34,83.73,0.01,Oyo
2023-02-03,26.46,82.58,0.01,Oyo
2023-02-04,25.67,87.42,0.01,Oyo
2023-02-05,25.47,88.81,0.3,Oyo
2023-02-06,25.61,87.36,0.34,Oyo
2023-02-07,25.4,83.48,0.1,Oyo
