year,basic_water_pct,safely_managed_water_pct,basic_sanitation_pct,safely_managed_sanitation_pct,open_defecation_pct,source,source_note
2021,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,World Bank WDI,National annual WASH proxy repeated across state-week cholera rows.
2022,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,World Bank WDI,National annual WASH proxy repeated across state-week cholera rows.
2023,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,World Bank WDI,National annual WASH proxy repeated across state-week cholera rows.
2024,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,World Bank WDI,National annual WASH proxy repeated across state-week cholera rows.
2025,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,World Bank WDI,National annual WASH proxy repeated across state-week cholera rows.
