model,search_index,params,folds,mae,rmse,smape,r2,rmse_std
xgboost,3,"{""base_model__colsample_bytree"": 0.8, ""base_model__gamma"": 0.1, ""base_model__learning_rate"": 0.03, ""base_model__max_depth"": 5, ""base_model__min_child_weight"": 3, ""base_model__n_estimators"": 260, ""base_model__reg_alpha"": 0.8, ""base_model__reg_lambda"": 1, ""base_model__subsample"": 1.0, ""target_cap_quantile"": null, ""target_mode"": ""log_rate""}",3,80.11114174362801,228.05714475088521,119.58984300134112,-0.03464302411065601,224.00470247014206
xgboost,4,"{""base_model__colsample_bytree"": 0.65, ""base_model__gamma"": 0.1, ""base_model__learning_rate"": 0.015, ""base_model__max_depth"": 3, ""base_model__min_child_weight"": 1, ""base_model__n_estimators"": 360, ""base_model__reg_alpha"": 0.2, ""base_model__reg_lambda"": 3, ""base_model__subsample"": 0.65, ""target_cap_quantile"": 0.99, ""target_mode"": ""log_cases""}",3,66.8106320083164,238.0923279355243,113.90882892320667,-0.025275005286852226,240.44967264958686
xgboost,5,"{""base_model__colsample_bytree"": 0.9, ""base_model__gamma"": 1.0, ""base_model__learning_rate"": 0.05, ""base_model__max_depth"": 2, ""base_model__min_child_weight"": 1, ""base_model__n_estimators"": 360, ""base_model__reg_alpha"": 0.05, ""base_model__reg_lambda"": 3, ""base_model__subsample"": 1.0, ""target_cap_quantile"": 0.99, ""target_mode"": ""log_cases""}",3,66.1360362243227,237.30996308114072,111.4525489733944,0.0007427120972472631,241.08499717716543
xgboost,6,"{""base_model__colsample_bytree"": 0.65, ""base_model__gamma"": 0.5, ""base_model__learning_rate"": 0.015, ""base_model__max_depth"": 3, ""base_model__min_child_weight"": 6, ""base_model__n_estimators"": 500, ""base_model__reg_alpha"": 0.8, ""base_model__reg_lambda"": 15, ""base_model__subsample"": 0.65, ""target_cap_quantile"": 0.98, ""target_mode"": ""log_cases""}",3,67.00516948312658,238.58656701527,114.47011505226239,-0.02987774372810903,240.76800800765892
xgboost,7,"{""base_model__colsample_bytree"": 1.0, ""base_model__gamma"": 0.1, ""base_model__learning_rate"": 0.08, ""base_model__max_depth"": 2, ""base_model__min_child_weight"": 3, ""base_model__n_estimators"": 360, ""base_model__reg_alpha"": 0, ""base_model__reg_lambda"": 8, ""base_model__subsample"": 1.0, ""target_cap_quantile"": 0.99, ""target_mode"": ""log_rate""}",3,85.50129939421733,233.7040254533199,119.00148225812647,-0.11124356173021865,228.11060790122744
xgboost,8,"{""base_model__colsample_bytree"": 0.65, ""base_model__gamma"": 0, ""base_model__learning_rate"": 0.08, ""base_model__max_depth"": 4, ""base_model__min_child_weight"": 3, ""base_model__n_estimators"": 260, ""base_model__reg_alpha"": 0, ""base_model__reg_lambda"": 8, ""base_model__subsample"": 0.9, ""target_cap_quantile"": null, ""target_mode"": ""log_cases""}",3,68.75905151033966,239.15427194632684,115.59047825672552,-0.06406680848867123,239.62759783624256
xgboost,9,"{""base_model__colsample_bytree"": 0.8, ""base_model__gamma"": 0.1, ""base_model__learning_rate"": 0.08, ""base_model__max_depth"": 5, ""base_model__min_child_weight"": 3, ""base_model__n_estimators"": 180, ""base_model__reg_alpha"": 0.2, ""base_model__reg_lambda"": 15, ""base_model__subsample"": 0.9, ""target_cap_quantile"": null, ""target_mode"": ""log_cases""}",3,66.46628509383216,237.78537789334553,114.17937216374075,-0.008880990756779136,241.1652622688683
xgboost,10,"{""base_model__colsample_bytree"": 0.9, ""base_model__gamma"": 0, ""base_model__learning_rate"": 0.08, ""base_model__max_depth"": 5, ""base_model__min_child_weight"": 6, ""base_model__n_estimators"": 360, ""base_model__reg_alpha"": 0.2, ""base_model__reg_lambda"": 3, ""base_model__subsample"": 0.9, ""target_cap_quantile"": 0.98, ""target_mode"": ""log_cases""}",3,68.52896193739734,238.5454231457937,116.52060895506422,-0.039161205999714545,240.0331844789879
xgboost,11,"{""base_model__colsample_bytree"": 0.65, ""base_model__gamma"": 0.1, ""base_model__learning_rate"": 0.015, ""base_model__max_depth"": 3, ""base_model__min_child_weight"": 10, ""base_model__n_estimators"": 260, ""base_model__reg_alpha"": 0.2, ""base_model__reg_lambda"": 8, ""base_model__subsample"": 0.8, ""target_cap_quantile"": 0.98, ""target_mode"": ""log_rate""}",3,77.8719513646489,228.7240590783986,118.23569253213941,-0.025868448336898275,225.02166945378954
xgboost,12,"{""base_model__colsample_bytree"": 0.9, ""base_model__gamma"": 0, ""base_model__learning_rate"": 0.015, ""base_model__max_depth"": 4, ""base_model__min_child_weight"": 1, ""base_model__n_estimators"": 360, ""base_model__reg_alpha"": 0.8, ""base_model__reg_lambda"": 8, ""base_model__subsample"": 0.65, ""target_cap_quantile"": 0.98, ""target_mode"": ""log_cases""}",3,66.72149752459958,238.52807948281364,114.54747973504088,-0.02003255961485732,241.42927404468853
xgboost,13,"{""base_model__colsample_bytree"": 1.0, ""base_model__gamma"": 0, ""base_model__learning_rate"": 0.08, ""base_model__max_depth"": 2, ""base_model__min_child_weight"": 3, ""base_model__n_estimators"": 360, ""base_model__reg_alpha"": 0.2, ""base_model__reg_lambda"": 1, ""base_model__subsample"": 1.0, ""target_cap_quantile"": 0.99, ""target_mode"": ""log_cases""}",3,68.95159272719313,237.5284588883188,113.4326971424281,-0.0383085359932391,238.93806539583673
xgboost,14,"{""base_model__colsample_bytree"": 0.9, ""base_model__gamma"": 0.1, ""base_model__learning_rate"": 0.015, ""base_model__max_depth"": 5, ""base_model__min_child_weight"": 10, ""base_model__n_estimators"": 360, ""base_model__reg_alpha"": 0.2, ""base_model__reg_lambda"": 1, ""base_model__subsample"": 0.8, ""target_cap_quantile"": 0.99, ""target_mode"": ""log_cases""}",3,66.99079779776226,237.25822013321502,113.59967536598226,-0.03108929433831335,238.6338547302784
xgboost,15,"{""base_model__colsample_bytree"": 1.0, ""base_model__gamma"": 1.0, ""base_model__learning_rate"": 0.08, ""base_model__max_depth"": 3, ""base_model__min_child_weight"": 6, ""base_model__n_estimators"": 260, ""base_model__reg_alpha"": 0, ""base_model__reg_lambda"": 15, ""base_model__subsample"": 0.9, ""target_cap_quantile"": 0.98, ""target_mode"": ""log_rate""}",3,84.31651576112537,230.61101473382442,118.75545338824304,-0.022165482992873575,228.82937045014162
xgboost,16,"{""base_model__colsample_bytree"": 0.8, ""base_model__gamma"": 1.0, ""base_model__learning_rate"": 0.03, ""base_model__max_depth"": 4, ""base_model__min_child_weight"": 10, ""base_model__n_estimators"": 180, ""base_model__reg_alpha"": 0.8, ""base_model__reg_lambda"": 15, ""base_model__subsample"": 0.9, ""target_cap_quantile"": null, ""target_mode"": ""log_cases""}",3,66.95139681403639,238.4246933914106,114.1915370456628,-0.026389711166380187,240.94189388948305
xgboost,17,"{""base_model__colsample_bytree"": 0.65, ""base_model__gamma"": 0.1, ""base_model__learning_rate"": 0.03, ""base_model__max_depth"": 4, ""base_model__min_child_weight"": 10, ""base_model__n_estimators"": 180, ""base_model__reg_alpha"": 0.05, ""base_model__reg_lambda"": 1, ""base_model__subsample"": 0.65, ""target_cap_quantile"": 0.98, ""target_mode"": ""log_rate""}",3,80.1699045719497,225.83877658095264,118.54629041283808,-0.03386621290462751,220.02811315114795
