model,status,folds,mae,rmse,smape,r2,rmse_std
naive_lag_1,evaluated_cv,3,81.87302696720833,237.63887563809791,101.60746864691741,-0.20184656083077213,225.24870078024918
moving_average_4_week,evaluated_cv,3,101.95737957947462,334.56915922628104,114.12302889819152,-12.874639045536517,188.77417585045663
random_forest,tuned_cv,3,65.86331216774086,238.5917982159559,112.67369162427444,-0.010543324939284041,242.21644756331858
xgboost,tuned_cv,3,66.1360362243227,237.30996308114072,111.4525489733944,0.0007427120972472631,241.08499717716543
prophet,evaluated_cv,3,448.87099349503916,2461.0370748672467,132.37923185415906,-1687.2368312058306,1471.7812575711687
